Location,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),NH3 (µg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s)
Civil Lines,228.3,125,245,34.7,9.0,31.3,18.7,22.1,73,1.4
Rambagh,235.0,130,255,36.0,9.0,32.0,18.0,22.1,73,1.4
Naini,250.0,140,270,39.0,10.0,34.0,17.0,22.1,73,1.3
Phoolpur,260.0,145,280,40.0,11.0,36.0,16.0,22.1,73,1.3
Katra,215.0,118,230,32.0,8.0,29.0,20.0,22.1,73,1.5
Teliyarganj,190.0,105,205,28.0,7.0,25.0,22.0,22.1,74,1.7
Company Bagh,120.0,60,125,15.0,5.0,15.0,28.0,21.8,80,2.2
Civil Lines,225.0,125,240,36.0,9.0,32.0,19.0,25.3,72,1.5
Rambagh,235.0,130,250,38.0,9.0,33.0,18.0,25.3,72,1.5
Naini,255.0,145,280,41.0,10.0,36.0,17.0,25.2,71,1.4
Phoolpur,265.0,150,290,43.0,11.0,38.0,16.0,25.2,71,1.4
Katra,215.0,120,230,33.0,8.0,30.0,21.0,25.3,73,1.6
Teliyarganj,195.0,105,205,29.0,7.0,26.0,23.0,25.1,74,1.8
Company Bagh,130.0,65,135,17.0,5.0,16.0,29.0,24.9,80,2.2
Civil Lines,220.0,125,240,36.0,9.0,32.0,18.0,25.6,72,1.5
Rambagh,230.0,130,250,38.0,9.0,33.0,17.0,25.6,72,1.5
Naini,250.0,145,280,41.0,10.0,36.0,16.0,25.5,71,1.4
Phoolpur,260.0,150,290,43.0,11.0,38.0,15.0,25.5,71,1.4
Katra,210.0,120,230,34.0,8.0,30.0,20.0,25.6,73,1.6
Teliyarganj,190.0,105,205,29.0,7.0,26.0,22.0,25.4,74,1.8
Company Bagh,130.0,70,135,17.0,5.0,17.0,28.0,25.1,80,2.1
Civil Lines,235.0,130,250,36.0,9.0,32.0,18.0,26.2,71,1.5
Rambagh,245.0,135,260,38.0,9.0,33.0,17.0,26.2,71,1.5
Naini,265.0,150,290,42.0,10.0,37.0,16.0,26.1,70,1.4
Phoolpur,275.0,158,300,44.0,11.0,39.0,15.0,26.1,70,1.4
Katra,225.0,125,240,33.0,8.0,31.0,20.0,26.2,72,1.6
Teliyarganj,205.0,110,210,29.0,7.0,27.0,22.0,26.0,73,1.8
Company Bagh,140.0,70,140,18.0,5.0,18.0,28.0,25.7,79,2.1
